com_id,com_name,capital,emp_num,addr
73190202,思慕爾國際有限公司,19,\N,新北市板橋區文化路182巷27號1樓
3228347,盛富科技有限公司,264,\N,高雄市大寮區光明路二段1148之1號
51831958,華新橡膠工業股份有限公司(MOTEX),142,56,彰化縣田中鎮中州路二段751號(田中工業區)
9995349,雙餘實業股份有限公司,112,50,台中市北屯區文心路四段696號18樓
72163644,台灣孵化器股份有限公司,125,\N,台中市大雅區科雅路6號(中部科學園區)
36082090,東興紙品股份有限公司,24,35,新北市樹林區俊英街282號
125304,"鼎級企業股份有限公司(海尼根,麒麟,金門高粱酒,約翰走路,人頭馬,軒尼詩,青島啤酒,台灣啤酒,傑卡斯紅酒,麥卡倫)",44,25,新北市深坑區北深路三段111號
72457511,凱恩國際聯合商務中心有限公司,113,30,台中市西屯區何厝里四川路129號
71693766,萬群地產開發股份有限公司,114,100,台中市南屯區五權西路二段758號
72523512,有巢氏房屋-新店中央央北旗艦店(有巢氏房屋中央央北旗艦店),43,10,新北市新店區中央路210號
2170018,上銀科技股份有限公司(HIWIN),114,4800,台中市南屯區精科路7號(精密機械園區)(台中市精密機械科技創新園區)
9628417,禧恩股份有限公司,11,\N,台北市大安區仁愛路三段26號2樓
71725024,中悅國際室內裝修設計股份有限公司,9,\N,台北市中山區松江路139號7樓
50817965,貝里尼股份有限公司(義大利貝里尼皮鞋[TINO BELLINI] [BELMONDO] [INTERLUDE]),11,220,台北市大安區忠孝東路四段285號12樓
69190362,濟群欣中醫診所,7,\N,台北市中正區博愛路70號2樓
51870210,全球智力人力開發有限公司(丞富外勞仲介),49,10,桃園市中壢區五族二街85號
500299,晟峰精密工業股份有限公司,56,50,桃園市龜山區山鶯路中華巷2之1號(龜山工業區)
73168904,煜騰茶舖_本菓綱目,10,10,台北市松山區松山路627號
71720799,雄祥工程有限公司,129,\N,台中市龍井區龍昌路100號 (中龍鋼鐵廠區)
9723314,大鶯儀器廠股份有限公司(HAWK),26,50,新北市鶯歌區建國路60號2樓
70022280,中原保全股份有限公司,112,\N,台中市北屯區崇德路二段256號7樓
71534797,浤耀公寓大廈管理維護股份有限公司,19,\N,新北市板橋區忠孝路259號3樓
73178098,易鑫資訊,22,5,新北市永和區中和路499之6號M樓
68787220,力佳綠能生技有限公司,297,20,屏東縣林邊鄉成功路1號
73194894,裕永食品廠股份有限公司,140,\N,彰化縣溪湖鎮河東里河興路209號
36083477,磐石保全股份有限公司,255,220,高雄市三民區九如一路565巷1號
73139647,"1111test1(品牌,測試)",\N,\N,暫不提供
