job_id,degree,low_salary,high_salary,exp_year,job_type,worktime,isnight,needed_num,url
355,56,40000,\N,3,0,9.0,1,1,91218704
356,60,28000,30000,0,0,8.0,1,1,91208153
357,8,25000,30000,3,0,8.0,1,1,91188443
358,0,28000,40000,0,0,9.0,1,1,91165880
359,0,26000,40000,0,0,9.0,1,2,91165790
360,60,40000,40000,0,0,1.5,1,0,91135986
361,24,40000,\N,3,0,8.0,1,1,91131882
362,48,30000,50000,3,0,9.5,1,1,91122410
363,0,34000,34000,0,0,8.0,1,1,85999731
364,60,28000,28000,0,0,8.0,0,1,85981325
365,24,35000,45000,2,0,8.0,1,1,85977713
366,0,25000,30000,0,0,8.0,3,1,85911857
367,56,40000,\N,0,0,8.0,1,1,85895431
368,60,40000,\N,10,0,8.0,1,1,85888469
369,60,23800,38000,1,0,9.5,1,1,85882358
370,56,40000,\N,0,0,8.0,1,1,85866462
371,56,30000,40000,3,0,8.0,1,1,85855465
372,56,28000,33000,2,0,9.0,1,2,85840198
373,0,27000,35000,1,0,9.0,1,1,85243758
374,56,40000,50000,5,0,8.0,0,0,85237206
375,0,40000,\N,0,0,8.0,3,2,85218418
376,0,25000,40000,0,0,9.0,1,1,84880916
377,60,28000,28000,0,0,9.0,1,1,84880073
378,56,24000,45000,2,0,9.0,1,1,84878028
379,12,23800,150000,1,0,8.0,1,1,84871883
380,12,23800,120000,0,0,8.0,1,1,84871880
381,12,23800,35000,5,0,8.0,1,1,84867604
382,60,35000,37000,0,0,8.0,1,1,84841425
383,60,25000,30000,0,0,8.0,1,1,84800296
384,56,32000,35000,3,0,4.0,1,1,80259742
385,60,32000,35000,5,0,4.0,1,0,80259737
386,56,40000,\N,5,0,8.0,1,1,79926705
387,56,40000,60000,1,0,8.0,1,1,79884519
388,56,40000,\N,5,0,8.0,3,1,79877386
389,24,40000,\N,2,0,8.0,1,1,79849630
390,0,24000,40000,0,0,9.0,1,1,79831873
391,56,26000,46000,0,0,9.0,1,1,79744079
392,56,34000,34000,2,0,-2.5,1,2,79580191
393,56,27000,32000,0,0,8.0,1,1,79431625
394,60,28000,40000,2,0,8.0,1,1,79127527
395,60,30000,50000,3,0,9.5,1,1,78390866
396,60,40000,\N,0,0,8.0,1,2,77028657
397,56,30000,33000,0,0,8.0,1,1,76675866
398,60,28000,40000,2,0,8.0,1,1,75572977
399,60,40000,\N,5,0,8.0,1,1,71339509
400,60,28000,40000,2,0,8.0,1,1,57518361
401,60,25000,35000,0,0,8.0,1,1,56580374
402,56,30000,30000,1,0,-3.0,1,1,56350265
403,56,30000,40000,3,0,8.0,1,1,56325982
404,56,40000,\N,3,0,-3.0,1,1,55730381
405,60,28000,40000,2,0,8.0,1,1,54458424
406,56,30000,40000,2,0,8.0,1,0,38607225
407,60,36000,43000,4,0,-3.0,1,1,38557720
408,28,26000,32000,3,0,8.0,1,1,91543091
409,56,28000,40000,0,0,9.0,1,1,91542679
410,8,31400,40000,1,0,8.0,3,1,91535983
411,60,25000,28000,0,0,8.0,1,1,91529278
412,60,35000,40000,3,0,9.0,1,1,91529020
413,60,23800,40000,5,0,8.0,1,1,91523990
414,8,26000,32000,0,0,-3.0,1,1,91418295
415,56,24000,28000,0,0,9.0,1,1,91148707
416,24,31000,31000,4,0,9.0,1,1,91135349
417,0,40000,\N,0,0,8.0,0,1,85935699
418,56,31400,31400,0,0,9.0,1,1,79125285
419,56,33000,40000,0,0,-3.0,1,2,78480574
420,56,24000,30000,0,0,8.0,1,1,78397300
421,24,40000,\N,6,0,8.0,1,1,91495366
422,48,42000,45000,3,0,9.0,1,1,91421098
423,60,30000,50000,3,0,9.0,1,1,85991161
424,60,26000,26000,0,0,8.0,1,1,78604380
425,56,26000,32000,0,0,-3.0,1,1,75597322
426,28,25000,35000,3,0,-3.5,1,2,70769162
427,0,24000,26000,0,0,8.0,1,1,91543269
428,60,28000,50000,2,0,8.0,1,1,91268457
429,56,24000,24000,2,0,8.0,1,1,86004600
430,0,30000,35000,0,0,8.0,0,1,85834061
431,60,40000,\N,5,0,8.0,1,1,84840637
432,60,24000,28000,0,0,8.0,1,1,80191480
433,60,30000,45000,1,0,-3.0,1,1,77322646
434,28,30000,30000,1,0,8.0,1,1,91520537
435,8,40000,\N,0,0,9.0,1,1,91498483
436,56,26000,26000,3,0,8.0,1,1,91494727
437,56,30000,40000,0,0,9.0,1,1,91487623
438,60,28000,35000,1,0,9.5,1,1,91464813
439,16,40000,\N,1,0,8.75,1,1,91430945
440,28,28000,28000,0,0,8.0,1,1,91249506
441,56,30000,40000,0,0,9.0,1,1,91215311
442,56,30000,35000,0,0,9.0,1,0,91148404
443,60,25000,28800,0,0,8.0,1,1,85946673
444,60,30000,40000,1,0,9.0,1,1,85146516
445,56,40000,\N,1,0,8.0,1,1,79937635
446,56,35000,35000,2,0,9.0,1,1,79585342
447,0,38000,40000,1,0,8.0,1,1,78310830
448,56,35000,45000,5,0,9.0,1,1,77337282
449,0,25000,35000,0,0,-3.0,1,1,76488457
450,60,40000,60000,3,0,-1.5,1,1,56667530
451,60,30000,30000,5,0,8.0,1,1,53390746
452,16,35000,50000,5,0,8.0,1,1,91542838
453,16,35000,50000,5,0,8.0,1,1,91542821
454,0,25000,25000,0,0,8.0,1,1,91542253
455,8,40000,\N,10,0,9.0,1,1,91526809
456,60,30000,30000,1,0,9.0,1,1,91514651
457,60,35000,60000,2,0,-3.0,1,1,91505495
458,56,38000,52000,0,0,9.0,1,1,91422262
459,28,35000,35000,0,0,8.0,1,3,91422229
460,56,40000,60000,10,0,9.0,1,1,91118548
461,28,26000,32000,1,0,10.0,1,1,85974133
462,56,48000,68000,1,0,-3.0,1,1,85171272
463,0,30000,35000,0,0,8.0,1,1,84814090
464,0,30000,40000,0,0,8.0,1,1,80285459
465,60,35000,40000,2,0,9.5,1,1,80040349
466,56,29000,35000,2,0,9.0,1,1,79772105
467,56,25000,25000,0,0,8.0,1,1,79387291
468,60,35000,60000,2,0,-3.0,1,1,75576469
469,60,28000,40000,1,0,-3.0,1,1,70554257
470,4,34000,34000,0,0,8.0,1,1,56611405
471,56,28000,38000,0,0,-3.0,1,1,38617044
472,28,40000,\N,2,0,8.0,1,1,91539979
473,60,36000,300000,2,0,9.0,1,3,79810450
474,56,28000,56000,2,0,8.0,3,1,75702834
475,60,23800,26000,0,0,9.5,1,0,79002524
476,56,55000,55000,3,0,9.0,1,1,78360623
477,56,34000,34000,0,0,8.0,1,1,91255306
478,8,40000,\N,3,0,9.0,1,1,91500066
479,56,40000,\N,4,0,8.0,1,1,91499590
